fecha,canal,category,subcategory,subcategory_2,subcategory_3,marca,modelo,sku,upc,item,item_characteristics,url sku,image,price,sale_price,shipment cost,sales flag,store id,store name,store address,stock,upc wm,final_price,upc wm2,comp,composition,made_in,url item
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Negro,NoSKU,NoSKU_Negro_S,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,S,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Negro,NoSKU,NoSKU_Negro_XL,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,XL,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Negro,NoSKU,NoSKU_Negro_M,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,M,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Negro,NoSKU,NoSKU_Negro_L,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,L,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Negro,NoSKU,NoSKU_Negro_XXL,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,XXL,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Vinotinto,NoSKU,NoSKU_Vinotinto_S,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,S,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Vinotinto,NoSKU,NoSKU_Vinotinto_XL,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,XL,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Vinotinto,NoSKU,NoSKU_Vinotinto_M,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,M,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Vinotinto,NoSKU,NoSKU_Vinotinto_L,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,L,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Vinotinto,NoSKU,NoSKU_Vinotinto_XXL,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,XXL,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Azul oscuro,NoSKU,NoSKU_Azul oscuro_S,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,S,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Azul oscuro,NoSKU,NoSKU_Azul oscuro_XL,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,XL,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Azul oscuro,NoSKU,NoSKU_Azul oscuro_M,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,M,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Azul oscuro,NoSKU,NoSKU_Azul oscuro_L,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,L,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
2025/01/10,Diane & Geordi (CR),Hombre,tanga masculina,,,Diane & Geordi,Azul oscuro,NoSKU,NoSKU_Azul oscuro_XXL,Tanga (GG04D8),"Nuestra líneaCOLORSen corte tanga, con la mejor frescura de la microfibra.ReferenciaGG04D8.DETALLESSilueta ajustada.Elástico contramarcado.TELAMicrofibra de la más alta calidad, nylon y spandex.Diseñado y producido en Colombia.*El elástico puede variar según disposición del diseño.",https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",4900.0,,available,regular,9999_dg_cr,ONLINE,ONLINE,XXL,NoSKU,4900.0,NoSKU,,,,https://dianeandgeordi.cr/collections/tangas-masculina/products/tanga-unicolor-de-microfibra-premium-gg04d8
